sector,link,Ministry/Organization Name,id
"Finance, Banking & Insurance",https://apcob.org,"The Andhra Pradesh State Co-operative Bank Ltd., Andhra Pradesh",88
"Finance, Banking & Insurance",https://chitfund.delhi.gov.in,"Chit Fund Department, Delhi",89
"Finance, Banking & Insurance",https://settlementcommission-cest.gov.in,"Settlement Commission, Customs, Central Excise and Service Tax",90
"Finance, Banking & Insurance",https://cgstkanpur.gov.in,"Goods and Service Tax and Central Excise (GST), Kanpur",91
"Finance, Banking & Insurance",https://customspatna.gov.in,"Commissioner of Customs (Prevention), Patna, Bihar",92
"Finance, Banking & Insurance",https://www.skilldevelopment.gov.in,National Skill Development Fund/Trust,93
"Finance, Banking & Insurance",https://www.arunachalplan.gov.in,"Finance-Planning & Investment Department, Arunachal Pradesh",94
"Finance, Banking & Insurance",https://kpepf.lsgkerala.gov.in,"STHAPANA - KPEPF Kerala Panchayat Employees Provident Fund, Kerala",95
"Finance, Banking & Insurance",https://sat.gov.in,"Securities Appellate Tribunal, Mumbai",96
"Finance, Banking & Insurance",https://cexauditjaipur.gov.in,"Commissioner (Audit), Central Excise and Service Tax, Jaipur",97
"Finance, Banking & Insurance",https://excise.delhi.gov.in,"Excise, Entertainment & Luxury Tax Department, Delhi",98
"Finance, Banking & Insurance",https://www.commissionercustomslucknow.gov.in,"Commissioner Customs (Preventive), Lucknow",99
"Finance, Banking & Insurance",https://bankofmaharashtra.in,Bank of Maharashtra,100
"Finance, Banking & Insurance",https://cgsthyderabadzone.gov.in,"Goods and Services Tax (GST), Hyderabad Zone",101
"Finance, Banking & Insurance",https://egazette.bih.nic.in,"e-Gazette, Bihar",102
"Finance, Banking & Insurance",https://www.tnbudget.tn.gov.in,"Government Budget Text 2023-2024, Tamil Nadu",103
"Finance, Banking & Insurance",https://ccolkozone.gov.in,"Customs, Central Excise and Service Tax Zone, Lucknow",104
"Finance, Banking & Insurance",https://www.incometaxhyderabad.gov.in,"Income Tax Department, Andhra Pradesh and Telangana State",105
"Finance, Banking & Insurance",https://apct.gov.in,"Commercial Taxes Department, Andhra Pradesh",106
"Finance, Banking & Insurance",https://www.drt3chennai.tn.nic.in,"Debts Recovery Tribunal No 3, Chennai",108
"Finance, Banking & Insurance",https://www.cochincustoms.gov.in,Custom House (Cochin),109
"Finance, Banking & Insurance",https://trichy.gstchennai.gov.in,"Central Excise, Trichy",110
"Finance, Banking & Insurance",https://goaexcise.gov.in,"Excise Department, Goa",111
"Finance, Banking & Insurance",https://www.icai.org,Institute of Chartered Accountants of India (ICAI),112
"Finance, Banking & Insurance",https://cgstvadodarazone.gov.in,"Chief Commissioner - CGST & C.Ex, Vadodara Zone, Gujarat",113
"Finance, Banking & Insurance",https://cgstauditlko.gov.in,Central Goods and Services Tax Audit Lucknow,114
"Finance, Banking & Insurance",https://www.centralexcisechennai.gov.in,"Central Excise, Chennai",115
"Finance, Banking & Insurance",https://cga.gov.in,Controller General of Accounts (CGA),116
"Finance, Banking & Insurance",https://cgstujjain.gov.in,"Principal Commissioner Custom Central Excise and Central GST, Ujjain",117
"Finance, Banking & Insurance",https://rajasthancustoms.gov.in,"Customs Commissionarate (Preventive), Rajasthan",118
"Finance, Banking & Insurance",https://www.punecustoms.nic.in,Pune Customs,119
"Finance, Banking & Insurance",https://jiyoparsi.minorityaffairs.gov.in,Jiyo Parsi Scheme Portal,121
"Finance, Banking & Insurance",https://wbtenders.gov.in,"eProcurement System, West Bengal",122
"Finance, Banking & Insurance",https://coimbatoregst.gov.in,"Central GST Commissionerate, Coimbatore, Tamil Nadu",123
"Finance, Banking & Insurance",https://mahakosh.maharashtra.gov.in,"Directorate of Accounts and Treasuries, Maharashtra",124
"Finance, Banking & Insurance",https://www.npstrust.org.in,National Pension System and Trust,125
"Finance, Banking & Insurance",https://cbec-gst.gov.in,"Goods and Services Tax, Central Board of Excise and Customs (GST, CBEC)",126
