sector,organization_link,result_count,link,text,has_robots_txt
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.tn.gov.in/karuvoolam/whatsnew.html,"Treasuries and Accounts Department, Tamil Nadu",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://hptenders.gov.in,"eProcurement System, Himachal Pradesh",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.naa.gov.in,National Anti-profiteering Authority (NAA),False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://crcl.gov.in,"Central Revenues Control Laboratory, CBEC",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://ctax.jharkhand.gov.in,"Department of Commercial Taxes, Jharkhand",True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://khajane.karnataka.gov.in,"Department of Treasuries, Karnataka",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://igod.gov.in/feedback,Feedback,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://tin.tin.nsdl.com/oltas,"OLTAS - Challan Status Inquiry, Income Tax Department",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://meggst.gov.in,"Taxation Department, Meghalaya",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://gepg.nic.in,Government of India e-Payment Gateway (GePG),False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cgstappealsjaipur.gov.in,"Office of The Commissioner (Appeals), CGST, Jaipur",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://nacin.gov.in,"National Academy of Customs, Indirect Taxes and Narcotics (NACIN), Faridabad",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://delhitradetax.delhi.gov.in,"Trade and Taxes Department, Delhi",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.ajnifm.ac.in,Arun Jaitley National Institute of Financial Management,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://orientalinsurance.org.in,Oriental Insurance Company Limited (OICL),True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cgstap.gov.in,"Chief Commissioner of Central GST and Customs, Visakhapatnam Zone",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cestat.gov.in,Customs Excise and Service Tax Appellate Tribunal (CESTAT),True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://dbt.bih.nic.in,"Direct Benefit Transfer (DBT), Bihar",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.jkdfc.org,Jammu and Kashmir Development Finance Corporation (JKDFC),False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.protean-tinpan.com,Tax Information Network (TIN),True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.indiagovtmint.in,Security Printing & Minting Corporation of India Ltd.,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cenexgstvizag1.gov.in,"Central Excise, Customs and Service Tax Commissionerate, Visakhapatnam  I",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://finance.jharkhand.gov.in,"Finance Department, Jharkhand",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://apcob.org,"The Andhra Pradesh State Co-operative Bank Ltd., Andhra Pradesh",True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://chitfund.delhi.gov.in,"Chit Fund Department, Delhi",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://settlementcommission-cest.gov.in,"Settlement Commission, Customs, Central Excise and Service Tax",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cgstkanpur.gov.in,"Goods and Service Tax and Central Excise (GST), Kanpur",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://customspatna.gov.in,"Commissioner of Customs (Prevention), Patna, Bihar",True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.skilldevelopment.gov.in,National Skill Development Fund/Trust,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.arunachalplan.gov.in,"Finance-Planning & Investment Department, Arunachal Pradesh",True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://kpepf.lsgkerala.gov.in,"STHAPANA - KPEPF Kerala Panchayat Employees Provident Fund, Kerala",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://sat.gov.in,"Securities Appellate Tribunal, Mumbai",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cexauditjaipur.gov.in,"Commissioner (Audit), Central Excise and Service Tax, Jaipur",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://excise.delhi.gov.in,"Excise, Entertainment & Luxury Tax Department, Delhi",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.commissionercustomslucknow.gov.in,"Commissioner Customs (Preventive), Lucknow",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://bankofmaharashtra.in,Bank of Maharashtra,True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cgsthyderabadzone.gov.in,"Goods and Services Tax (GST), Hyderabad Zone",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://egazette.bih.nic.in,"e-Gazette, Bihar",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.tnbudget.tn.gov.in,"Government Budget Text 2023-2024, Tamil Nadu",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://ccolkozone.gov.in,"Customs, Central Excise and Service Tax Zone, Lucknow",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.incometaxhyderabad.gov.in,"Income Tax Department, Andhra Pradesh and Telangana State",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://apct.gov.in,"Commercial Taxes Department, Andhra Pradesh",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://digitalindia.gov.in/,,True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.drt3chennai.tn.nic.in,"Debts Recovery Tribunal No 3, Chennai",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.cochincustoms.gov.in,Custom House (Cochin),False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://trichy.gstchennai.gov.in,"Central Excise, Trichy",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://goaexcise.gov.in,"Excise Department, Goa",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.icai.org,Institute of Chartered Accountants of India (ICAI),False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cgstvadodarazone.gov.in,"Chief Commissioner - CGST & C.Ex, Vadodara Zone, Gujarat",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cgstauditlko.gov.in,Central Goods and Services Tax Audit Lucknow,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.centralexcisechennai.gov.in,"Central Excise, Chennai",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cga.gov.in,Controller General of Accounts (CGA),False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cgstujjain.gov.in,"Principal Commissioner Custom Central Excise and Central GST, Ujjain",False
