sector,organization_link,result_count,link,text
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://dbt.lsgkerala.gov.in,"SevanaPension Direct To Home Module, Kerala"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://lad.hp.gov.in,"Himachal Pradesh State Audit Department, Himachal Pradesh"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://paogref.nic.in,"Pay Accounts Office (GREF-Dighi Camp), Pune"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.pfrda.org.in,Pension Fund Regulatory and Development Authority (PFRDA)
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://ppptg.cgg.gov.in,"Public Private Partnerships (PPP), Telangana, Andhra Pradesh"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://igod.gov.in/about_us,About Us
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://goaf.gov.in,Chief Controller of Factories
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.tn.gov.in/karuvoolam/whatsnew.html,"Treasuries and Accounts Department, Tamil Nadu"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://hptenders.gov.in,"eProcurement System, Himachal Pradesh"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.naa.gov.in,National Anti-profiteering Authority (NAA)
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://crcl.gov.in,"Central Revenues Control Laboratory, CBEC"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://ctax.jharkhand.gov.in,"Department of Commercial Taxes, Jharkhand"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://khajane.karnataka.gov.in,"Department of Treasuries, Karnataka"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://igod.gov.in/feedback,Feedback
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://tin.tin.nsdl.com/oltas,"OLTAS - Challan Status Inquiry, Income Tax Department"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://meggst.gov.in,"Taxation Department, Meghalaya"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://gepg.nic.in,Government of India e-Payment Gateway (GePG)
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cgstappealsjaipur.gov.in,"Office of The Commissioner (Appeals), CGST, Jaipur"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://nacin.gov.in,"National Academy of Customs, Indirect Taxes and Narcotics (NACIN), Faridabad"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://delhitradetax.delhi.gov.in,"Trade and Taxes Department, Delhi"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.ajnifm.ac.in,Arun Jaitley National Institute of Financial Management
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://orientalinsurance.org.in,Oriental Insurance Company Limited (OICL)
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cgstap.gov.in,"Chief Commissioner of Central GST and Customs, Visakhapatnam Zone"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cestat.gov.in,Customs Excise and Service Tax Appellate Tribunal (CESTAT)
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://dbt.bih.nic.in,"Direct Benefit Transfer (DBT), Bihar"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.jkdfc.org,Jammu and Kashmir Development Finance Corporation (JKDFC)
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.protean-tinpan.com,Tax Information Network (TIN)
